ID,Competitor,Category,Product_Description,Brand,Actual Price (CH),Regular Price (CH),Grammage,Unit,Link,Scraping_Date
61,Migros,Pasta,Agnesi  spaghetti N°3,Agnesi,3.4,3.4,1k,g,https://www.migros.ch/en/product/104146700000,19/10/2024
62,Migros,Pasta,You  sedanini  red lentils,You,2.5,2.5,250,g,https://www.migros.ch/en/product/104105100000,19/10/2024
63,Migros,Pasta,"Aha!  Spaghetti  Gluten free, No wilting, No egg",Aha!,2.35,2.35,500,g,https://www.migros.ch/en/product/104168100000,19/10/2024
64,Migros,Pasta,Tradition IP-SUISSE  tagliatelle  garlic bear,Tradition IP-SUISSE,5.5,5.5,500,g,https://www.migros.ch/en/product/104165800000,19/10/2024
65,Migros,Pasta,Tortelloni Ricotta mit Spinat o. Gluten,Le Veneziane,6.4,6.4,250,g,https://www.migros.ch/en/product/104067600000,19/10/2024
66,Migros,Pasta,Di Farro Bio Spaghetti,Poggio del Farro,3.95,3.95,500,g,https://www.migros.ch/en/product/104155000000,19/10/2024
67,Migros,Pasta,Bio AdR Stanserhörnli,Migros Bio,4.7,4.7,500,g,https://www.migros.ch/en/product/104192200000,19/10/2024
68,Migros,Pasta,Demeter Urdinkel Penne,Demeter,5.2,5.2,400,g,https://www.migros.ch/en/product/104164600000,19/10/2024
69,Migros,Pasta,Le Veneziane Spaghetti,Le Veneziane,2.6,2.6,250,g,https://www.migros.ch/en/product/104166900000,19/10/2024
70,Migros,Pasta,Le Veneziane Penne,Le Veneziane,2.6,2.6,250,g,https://www.migros.ch/en/product/104167000000,19/10/2024
71,Migros,Pasta,Gnocchi di patate ohne Gluten,Le Veneziane,4.3,4.3,500,g,https://www.migros.ch/en/product/104179100000,19/10/2024
72,Migros,Pasta,PIZZOCCHERI VALTELLINESI,Bosco,3.5,3.5,500,g,https://www.migros.ch/en/product/104182300000,19/10/2024
73,Migros,Pasta,Aus der Region Bio Älplermagronen,Migros Bio,4.7,4.7,500,g,https://www.migros.ch/en/product/104192100000,19/10/2024
74,Migros,Pasta,Tradition IP-Suisse Ur-Dinkel Gnocchi,Tradition - Pasta,3.25,3.25,500,g,https://www.migros.ch/en/product/104145900000,19/10/2024
75,Migros,Pasta,Di Farro Bio Penne,Poggio del Farro,3.95,3.95,500,g,https://www.migros.ch/en/product/104155100000,19/10/2024
76,Migros,Pasta,Alnatura Dinkel Penne,Alnatura,2.2,2.2,500,g,https://www.migros.ch/en/product/104165000000,19/10/2024
77,Migros,Pasta,Le Veneziane Eliche,Le Veneziane,2.6,2.6,250,g,https://www.migros.ch/en/product/104167100000,19/10/2024
78,Migros,Pasta,Bio Penne Quinoa lose,Migros Bio,6.–,6.–,1k,g,https://www.migros.ch/en/product/104168600000,19/10/2024
79,Migros,Pasta,Tagliolini Pasta all'uvo con Tartufo,Ori di Langa,10.9,10.9,250,g,https://www.migros.ch/en/product/104012500000,19/10/2024
80,Migros,Pasta,Garofalo Spaghetti ohne Gluten,Garofalo,3.5,3.5,400,g,https://www.migros.ch/en/product/104129800000,19/10/2024
81,Migros,Pasta,Alnatura Dinkel Spaghetti,Alnatura,3.1,3.1,500,g,https://www.migros.ch/en/product/104167700000,19/10/2024
